id, name, ISIN, units, purchase_date
aqw23ed, SBI Bluechip Fund, ISBI103110, 10, 2024-10-11
ki87yh, HDFC Opportunities Fund, IHFCI10951, 2, 2024-05-18
mn92ls, ICICI Growth Fund, IICICI10234, 15, 2024-07-21
uy23dg, Tata Equity Fund, ITATA10356, 8, 2024-08-01
ps64kt, Axis Midcap Fund, IAXIS10578, 12, 2024-09-13
br23lf, UTI Small Cap Fund, IUTI10422, 20, 2024-06-05
vq76fh, Kotak Flexicap Fund, IKOTAK10911, 5, 2024-04-10
tx54yn, DSP Tax Saver Fund, IDSP10678, 25, 2024-07-30
zg84tu, Mirae Asset Emerging Fund, IMIR10945, 9, 2024-05-29
ow39vn, Canara Robeco Equity Fund, ICANR10733, 18, 2024-09-03
ld02mb, Aditya Birla Sun Life Tax Relief Fund, IABSL10512, 14, 2024-08-22
re75fh, Nippon India Growth Fund, INIP10239, 10, 2024-06-12
kv94hd, Edelweiss Balanced Advantage Fund, IEDLW10921, 7, 2024-03-11
fb65re, Sundaram Large Cap Fund, ISUND10378, 6, 2024-05-08
ol38ph, Franklin India Equity Fund, IFRANK10649, 15, 2024-10-25
jf28ue, L&T Hybrid Equity Fund, ILNT10476, 11, 2024-06-21
bn48vr, HSBC Mid Cap Equity Fund, IHSBC10853, 9, 2024-08-17
xh95jd, Invesco India Contra Fund, IINVC10912, 3, 2024-07-11
pg46zl, Motilal Oswal Long Term Equity Fund, IMOTI10432, 16, 2024-05-27
uh23bn, Quantum Tax Saving Fund, IQUANT10549, 4, 2024-09-20
lt62dr, Mahindra Top 200 Fund, IMAHI10198, 21, 2024-06-19
rk79hy, Sundaram Mid Cap Fund, ISUND10874, 5, 2024-07-05
ox45jf, IDFC Focused Equity Fund, IIDFC10633, 17, 2024-04-04
zk76qe, Reliance Large Cap Fund, IREL10620, 13, 2024-05-15
lj03fr, LIC Small Cap Fund, ILIC10282, 6, 2024-10-28
yk89uo, ICICI Value Discovery Fund, IICICI10546, 19, 2024-06-14
uf76xd, SBI Long Term Advantage Fund, ISBI10265, 2, 2024-08-11
dc35jy, HDFC Small Cap Fund, IHFCI10891, 23, 2024-09-27
tv23bc, Axis Growth Opportunities Fund, IAXIS10987, 4, 2024-05-10
ku87rg, Tata Digital India Fund, ITATA10867, 14, 2024-10-02
mr48ch, Canara Robeco Emerging Fund, ICANR10821, 9, 2024-03-27
yn85pd, Kotak Tax Saver Fund, IKOTAK10445, 12, 2024-08-29
pg34vl, Mirae Asset Tax Saver Fund, IMIR10950, 10, 2024-07-26
av52dh, Nippon India Large Cap Fund, INIP10767, 6, 2024-09-30
ns91gf, Franklin India Smaller Companies Fund, IFRANK10894, 8, 2024-05-03
hf76ir, Edelweiss Small Cap Fund, IEDLW10614, 20, 2024-10-16
qz32pm, Aditya Birla Sun Life Equity Fund, IABSL10590, 15, 2024-06-01
sh83lp, HSBC Value Fund, IHSBC10987, 9, 2024-04-30
rv25lh, IDFC Large Cap Fund, IIDFC10572, 7, 2024-09-18
lm38tx, L&T Emerging Business Fund, ILNT10936, 11, 2024-08-03
fc49zo, SBI Multi Cap Fund, ISBI10478, 13, 2024-03-15
pj64vn, Quantum Equity Fund of Funds, IQUANT10465, 12, 2024-07-09
gx93mf, ICICI Large Cap Fund, IICICI10654, 5, 2024-06-06
tb87dk, Kotak Balanced Advantage Fund, IKOTAK10543, 4, 2024-09-01
mj92dl, HDFC Balanced Advantage Fund, IHFCI10792, 16, 2024-08-06
bx49gr, Tata Large Cap Fund, ITATA10563, 11, 2024-04-22
vl26fp, UTI Equity Fund, IUTI10359, 18, 2024-10-20
yk58tz, Axis Equity Saver Fund, IAXIS10839, 9, 2024-05-05
fo23hr, Franklin India Equity Savings Fund, IFRANK10914, 8, 2024-07-14
wo34cz, Sundaram Diversified Fund, ISUND10547, 10, 2024-06-25
tr91uk, Canara Robeco Bluechip Fund, ICANR10795, 14, 2024-09-07
ki84vr, DSP Equity Savings Fund, IDSP10437, 3, 2024-08-15
mp75qj, Mahindra Mid Cap Fund, IMAHI10568, 17, 2024-04-09
jk36dm, LIC Equity Fund, ILIC10938, 6, 2024-06-30
cp89zu, Invesco India Tax Fund, IINVC10387, 7, 2024-08-27
zn94tg, Motilal Oswal Focused Fund, IMOTI10573, 20, 2024-07-31
pw78xm, Axis Flexicap Fund, IAXIS10483, 2, 2024-04-20
fp35cy, SBI Dividend Yield Fund, ISBI10241, 25, 2024-06-11
kp48bl, HDFC Dividend Yield Fund, IHFCI10728, 11, 2024-09-22
bn26tf, DSP Balanced Fund, IDSP10697, 12, 2024-05-08
zn47fw, ICICI Balanced Advantage Fund, IICICI10816, 5, 2024-10-18
vc28ng, Tata Balanced Advantage Fund, ITATA10472, 14, 2024-04-17
dp63lz, Kotak Emerging Equity Fund, IKOTAK10515, 9, 2024-09-28
uj75qx, Aditya Birla Sun Life Balanced Fund, IABSL10764, 19, 2024-07-05
ah94yr, Nippon India Balanced Fund, INIP10947, 6, 2024-08-12
lf38ms, HSBC Focused Equity Fund, IHSBC10356, 4, 2024-09-02
pb47uc, UTI Balanced Advantage Fund, IUTI10865, 17, 2024-06-03
jd39nr, Invesco India Growth Fund, IINVC10294, 8, 2024-05-25
br52tv, Mahindra Growth Fund, IMAHI10264, 15, 2024-08-23
oi23ng, Franklin India Multi Cap Fund, IFRANK10699, 11, 2024-04-18
ev38qj, L&T India Equity Fund, ILNT10875, 3, 2024-07-02
nt74rk, Quantum Small Cap Fund, IQUANT10417, 9, 2024-09-24
vr91fj, SBI Value Fund, ISBI10748, 2, 2024-10-10
hb48dl, Tata Tax Saver Fund, ITATA10927, 14, 2024-05-13
pd62mt, Axis Value Fund, IAXIS10274, 10, 2024-08-18
ns83by, Sundaram Balanced Advantage Fund, ISUND10655, 6, 2024-08-20
